,property_url,headline,price,area,description,amenities
10,https://www.homeaway.com/vacation-rental/p360801#reviews,DOWNTOWN! FIRST ACL WEEKEND AVAILABLE //SLEEPS 16,"$1,160",4500 sq. ft.,"Built in 2012 The Betty Jo has 6 bedrooms, 7 baths, 4 living rooms 2 kitchens and a backyard deck equipped with 2 gas fire pits and plenty of seating! This property is equipped with high speed internet, cable and two 60-inch plasma flat screen TVs. Two full service kitchens make this home a prime spot for entertaining. 5 minutes from downtown Austin, The Betty Jo's location is ideal for any Austin event or festival.","Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Parking, No Smoking, Heater"
11,https://www.homeaway.com/vacation-rental/p374108vb#reviews,Everyone Loves this Downtown Location! 2 bedroom plus loft,$179,1250 sq. ft.,Austin STR License: OL 2012 110070,"Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
12,https://www.homeaway.com/vacation-rental/p370228vb#reviews,"Best location in Austin! Super Close to UT, Capitol, & Downtown",$195,1250 sq. ft.,Austin STR License: OL 2012 103339,"Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
13,https://www.homeaway.com/vacation-rental/p3580000#reviews,"FAMILY FUN:Lakefront, Water Trampoline, Sand Vball, Kayaks, PaddleBoard",$230,900 sq. ft.,"Top rated Lake Austin spa is minutes away, rent paddle boards at the park down the road, or paddle our kayaks to the nature preserve across the lake and hike up to a waterfall. Our sand volleyball court is regulation size, we have a water trampoline, and diving board. But the serenity of this property may lead you to R&R and forgo all that activity - the screened in porch with antique iron day beds and desk beckons as a writer's retreat. Custom built with cedar flooring and rugged beams. Feels like middle of nowhere but great restaurants (sushi, Mexican, Steiner Ranch Steakhouse) are in the neighborhood, famous sunsets at the Oasis on Lake Travis 7 miles away, and 30 minutes from downtown Austin.","Internet, Air Conditioning, Hot Tub, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
14,https://www.homeaway.com/vacation-rental/p3586016#reviews,Furnished One Bedroom In South Congress District (SoCo),$165,485 sq. ft.,"Bouldin Creek Treehouse is an entirely furnished apartment located in Austin’s famous South Congress District (SoCo), available for short-term rental.","No Smoking, Air Conditioning, Satellite or Cable, TV, Children Welcome, Internet, Heater, Parking"
15,https://www.homeaway.com/vacation-rental/p324951vb#reviews,Delightful Downtown West 6th Street Condo - Walk to Everything,$179,883 sq. ft.,"WINTER SPECIAL....book for 30 nights or more, and get 30 nights for $2,500, December, January and February only. No taxes, no fees. See what it's like to live downtown! ($2000 refundable deposit required, and must be booked through owner, not this site...just send an email if interested).","Satellite or Cable, Washer & Dryer, No Smoking, Air Conditioning, TV, Internet, Heater, Parking"
16,https://www.homeaway.com/vacation-rental/p272323#reviews,"View from patio - 2 bedroom, 2 blks to Zilker Park, 2 mi to Downtown - king bed!",$148,787 sq. ft.,"The Treehouse has 2 bedrooms, 1 bath plus an extra sink and vanity in the master. There is a king size bed in the master and a full size bed in the small 2nd bedroom.","Satellite or Cable, No Smoking, Pets Welcome, Washer & Dryer, Air Conditioning, TV, Children Welcome, Internet, Parking, Heater, Fireplace"
17,https://www.homeaway.com/vacation-rental/p3466675#reviews,"Zilker, Downtown Austin view, Avail for 2nd ACL weekend!",$150,800 sq. ft.,"Modern, nicely decorated casita, our guest house, 1 BR, 1.5 bath in the heart of the Zilker neighborhood, walking distance to restaurants and downtown. Highlight is a terrace with fabulous downtown view. It is very private, set in the back of our spacious property. A great place to vacation and enjoy Austin. Quiet neighborhood where everyone knows each other. Perfect place to make home base while exploring Austin. Close to Zilker Park where ACL is held, downtown and famous South Congress district are also nearby.","Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Parking, No Smoking, Heater"
18,https://www.homeaway.com/vacation-rental/p243133#reviews,"Lake Austin Waterfront Retreat - Hot Tub, SUP, WiFi, Dogs Okay",$245,1100 sq. ft.,"Lake Austin waterfront is a great place to escape all year around. Lake Austin Retreat offers a beautiful Mexican style waterfront property with a boat dock, huge decks and a hot tub situated on a secluded bend of Lake Austin just 20 miles from downtown Austin. Relax, unwind, enjoy the Stand Up Paddle boards, swim, canoe, kayak, bird-watch, fish, or enjoy a spa-treatment at nearby Lake Austin Spa. The house accommodates 6 guests (if your group is larger than 6, please consider renting a neighbor's property which sleep's 6, in addition to ours - Homeaway Property # 7064882), and the spacious back yard offers an abundance of outdoor space for socializing, BBQ'n, playing or enjoying quiet hammock-time. Bring your boat and ski (boats can be moored at the dock but no boat lift is available), or lounge by the water's edge and drink in the view of the Golden Cheeked-Warbler habitat directly across the lake. You will love taking advantage of the most peaceful stretch of Lake Austin. Mornings are not to be missed. Grab your coffee or tea and watch the morning fog pull back revealing a glass-like surface that mirrors the rolling hills above. Just 35 Miles from the new F-1 Track in Austin, 20 miles from SXSW and ACL Festival.","Internet, Air Conditioning, Hot Tub, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
19,https://www.homeaway.com/vacation-rental/p346235#reviews,Spacious Historic Hyde Park Bungalow w/ Office in Central Austin by UT/Downtown,$100,780 sq. ft.,"This charming light-filled Hyde Park bungalow was built in 1915 and is rich in history. Remodeled in 2013 to maintain historic characteristics, it’s comprised of a large living room, full kitchen, a second bedroom with office space, and full bathroom with original antique claw foot tub/shower. Since the 1930's this house has been split into different residences. Enjoy this 780 square foot home that sleeps 3 adults. Other features include beautiful floors, 10-foot ceilings, a large fully fenced back yard, and fun vintage fixtures. It's within easy walking distance of multiple city and UT bus stops, Hyde Park restaurants, a bakery/coffee shop, Fresh Plus neighborhood grocery store, tennis courts, a park, and many other local Austin businesses. It's a great place to walk, ride bikes, or simply enjoy the quiet and relaxing atmosphere while being close to downtown.","Washer & Dryer, Air Conditioning, No Smoking, Satellite or Cable, TV, Children Welcome, Internet, Heater, Parking"
20,https://www.homeaway.com/vacation-rental/p350403#reviews,"Zilker Park Place--HUGE TOWNHOME- Fantastic Location--Comfy, Colorful, Peaceful",$125,950 sq. ft.,ZILKER PARK PLACE IS:,"Satellite or Cable, No Smoking, Washer & Dryer, Air Conditioning, TV, Children Welcome, Internet, Parking, Heater"
21,https://www.homeaway.com/vacation-rental/p3513280#reviews,SOCO - Private Upstairs Duplex - Walk Dntwn and to Lake (South Congress),$125,600 sq. ft.,"This is a new construction home with a private upstairs apartment. Between South First and SoCo within walkable proximity to some of the best restaurants and shopping in Austin. Walk to the trail, around the lake or walk downtown. Anywhere in Central Austin - Zilker Park, Barton Springs, East Austin, convention center, etc - is an inexpensive Lyft/Uber drive away. The bus also stops across South Congress from me.","Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
22,https://www.homeaway.com/vacation-rental/p1190588vb#reviews,Luxury Two-Story Guesthouse - Steps From Downtown And SOCO,$133,1100 sq. ft.,"Large (1,100 sq ft) casita in the heart of Austin. Perfect South First location for Austin traveler/vacationer in Bouldin Creek district. Enjoy an oasis of calm right in the middle of all the action -- just a 10 minute walk to bustling South Congress and a quick drive/leisurely stroll to all that Downtown offers. Some of Austin's top restaurants, including Lenoir, Mattie's at Green Pastures, and Winebelly are only a few blocks away!","No Smoking, Air Conditioning, Washer & Dryer, Satellite or Cable, TV, Children Welcome, Internet, Heater, Parking, Accessible"
23,https://www.homeaway.com/vacation-rental/p3468663#reviews,Park Lane Modern - Stunning 3br/3ba Home - Steps to South Congress!,$335,2000 sq. ft.,"3br/3ba rental in the heart of beautiful Travis Heights just east of South Congress Ave., where some of Austin's best shopping, eating and people-watching abound! Park Lane Modern is a contemporary home not lacking in warmth, and sleeping six comfortably in beds.","Internet, Air Conditioning, Pets Welcome, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
24,https://www.homeaway.com/vacation-rental/p3584859#reviews,🌼The SoCo GuestHouse 2+/1 Up to 6 People -1 Blk to South Congress/.4 Downtown,$207,1000 sq. ft.,*Best Reviews in Austin! -The SoCo Guest House (Austin License #085385),"Internet, Air Conditioning, TV, Satellite or Cable, Children Welcome, Parking, No Smoking, Heater"
25,https://www.homeaway.com/vacation-rental/p374746vb#reviews,"Downtown Austin Apartment on W 6th – 3 Decks, Walk to Restaurants & More",$194,,"Tucked within minutes of downtown Austin’s major attractions, our 2BR, 2.5BA apartment (sleeps 4) offers the perfect blend of walkability and tranquility. Walk to restaurants, galleries and bars, then come home and relax on three decks shaded by oak trees.","Satellite or Cable, Washer & Dryer, No Smoking, Air Conditioning, TV, Internet"
26,https://www.homeaway.com/vacation-rental/p3473613#reviews,New Listing! Casita in rolling Texas Hill Country,$116,394 sq. ft.,"Entering the garden gate, you'll walk under an arbor and pass the chicken coop, the organic garden and enter your own private retreat. We have made every effort to make this retreat as green as possible. Just inside the gate you have a lovely patio shaded by native Live Oaks, another garden area planted with Texas Natives, and a large covered porch with an outdoor dining spot, and a wide bench with cushions. Inside the Casita, which is small and efficient, you have a queen sized bed, a love seat, a kitchen with granite counter tops and equipped with all the basics, an expandable dining table, a closet and a bath with walk in shower. There are handmade tiles installed in the kitchen and the bath. The dinnerware is from our studio. We We harvest rainwater and use it on the vegetable gardens, and use some for the landscaping. When available, we can supply you with some fresh eggs from the chickens and a vegetable or two from the garden. Just ask and we will harvest for you. The hot water heater is tankless on demand, the AC/heater is an energy efficient 18 Seer Mini-Split, and there is a ceiling fan to reduce the need for AC. The floors are hardwood and tile with an area rug in the living area. We use sustainable paper products, bath products and soaps. The furniture and cabinetry was locally sourced and/or reclaimed.","Swimming pool, Internet, Air Conditioning, Pets Welcome, TV, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
27,https://www.homeaway.com/vacation-rental/p373731vb#reviews,2BR Bouldin Cottage Charmer in the True Heart of Soco!,$185,1100 sq. ft.,"Our 1948, 2BR cottage home has been completely remodeled and sits under a canopy of huge live oak trees. The cheerful kitchen has stainless steel appliances, granite countertops, gas cooking, and all the tools you need to cook your meals. There is also a French press, microwave oven, and toaster oven for breakfasts, and a good number of margarita and wine glasses just in case you need to unwind with friends after a long day of fun. The bed in the master bedroom has a deluxe pillow top mattress, lots of cozy pillows, and has linen sheets in the summer months and fleece in the few cooler months. The guest room features a second queen bed with plenty of pillows and crisp cotton sheets. The bathroom has also been fully updated. The living room has a flat screen TV, and a fireplace. It’s open to the kitchen, making for an easy layout to hang out with friends and family. After a long day of fun activities, come home to hang out and share a bottle of wine on the huge back deck under the live oaks, or relax on the front porch swing and watch neighbors walk by.","No Smoking, Air Conditioning, Washer & Dryer, Satellite or Cable, TV, Pets Welcome, Internet, Fireplace"
28,https://www.homeaway.com/vacation-rental/p3590408#reviews,"Lake Austin 3BR Mid-Century Modern - 200 Ft to Boat Slip, 10 Mins to Downtown",$532,2900 sq. ft.,"This welcoming 3BR/3BA home was uniquely designed for convenience, accessibility, and enjoyment. All three bedrooms are master suites, each with a beautiful en-suite bathroom.","Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, No Smoking"
29,https://www.homeaway.com/vacation-rental/p3655888#reviews,Casa de Miguel - 3BR/3BA Luxurious Beautifully Designed Family Home Soco,$225,1900 sq. ft.,"3br/3ba rental lies in the heart of south central Austin, near South Congress Ave. with ample options for eats and drinks. Casa de Miguel sleeps 8 comfortably in beds.","No Smoking, Air Conditioning, Washer & Dryer, Satellite or Cable, TV, Children Welcome, Pets Welcome, Internet, Heater, Parking"
30,https://www.homeaway.com/vacation-rental/p278724#reviews,"Comfy, cozy and quiet studio condo 2 blocks to Zilker Park. Sleeps 4.",$101,473 sq. ft.,"The Studio, our most affordable efficiency condo, is decorated with a ""music"" theme and has artwork and photos of Austin musicians. It has a 'James Bond' Queen bed with hidden pull-down arm rest and cup holders - along with Tempurpedic mattress and a Natuzi Queen sized pull out couch. There is a private porch with a table and 4 chairs. Gas grill is shared with The Sweet next door and is on the side of the building.","Satellite or Cable, No Smoking, Pets Welcome, Washer & Dryer, Air Conditioning, TV, Children Welcome, Internet, Parking, Heater"
31,https://www.homeaway.com/vacation-rental/p336924vb#reviews,"Formula 1, SXSW, ACL North Loop Rock Star Modern Home",$650,,"Ultramodern home in central Austin. Soaring ceilings, floor to ceiling glass walls and eclectic luxurious furnishings will enhance your Austin vacation or business experience. The newly constructed home is outfitted with vacation renters in mind. A large backyard 'parking lot' with four parking spaces is accessed through a private security gate. The kitchen is fully outfitted with all tools, utensils, cookware to prepare full family dinners.","Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Children Welcome, No Smoking"
32,https://www.homeaway.com/vacation-rental/p3623340#reviews,"Bali Meets Austin In Artist's Spectacular, Private, Luxury Loft House",$790,3600 sq. ft.,"Welcome to the Loft House, winner of the ABC Living Well Channel's 'Sweet Retreats' Austin edition, also known as the ""Bali-inspired Artist's Retreat"".","Swimming pool, Internet, Air Conditioning, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
33,https://www.homeaway.com/vacation-rental/p3522481#reviews,"Tranquil S Austin Gem with Comfy Beds, Big Yard, Close to Downtown",$227,1672 sq. ft.,"Located a few miles from South Congress, South Lamar, and downtown, this spacious South Austin home is designed for entertaining visitors of all ages as well as their beloved four-legged friends. The property is located near the South Austin intersection of William Cannon and Manchaca which is a short drive away from downtown along with many uniquely Austin restaurants, food trailers, shops, parks, and more. It allows visitors to experience Austin's creative and 'weird' landscape while maintaining a feeling of coziness that makes everyone feel welcome.","Internet, Air Conditioning, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
34,https://www.homeaway.com/vacation-rental/p3656342#reviews,BEAUTIFUL AND PEACEFUL DOWNTOWN RETREAT IN TRENDY OLD AUSTIN NEIGHBORHOOD,$499,3000 sq. ft.,"Enjoy an old Austin feel in downtown Austin's backyard. Immaculate home near just about everything Austin has to offer - SXSW, ACL, Formula 1 and COTA shuttle, Austin Film Festival, downtown district, Hike and Bike trail around Lady Bird Lake, Barton Springs, cool coffee houses, the flagship Whole Foods, eclectic shops, and some of Austin's finest restaurants (Clark's Oyster Bar, Jeffrey's, Winflo Osteria, Nightcap and Caffe Medici, just for starters). In the middle of it all, yet on a quiet street in the charming, hip and historic old Austin neighborhood of Clarksville.","Satellite or Cable, Washer & Dryer, No Smoking, Air Conditioning, TV, Internet, Children Welcome, Heater, Parking, Fireplace"
35,https://www.homeaway.com/vacation-rental/p205982#reviews,* Austintacious * Downtown * 2 - 4+ Bdrms * Walkable * Safe Neighborhood *,$160,2200 sq. ft.,Longer stays and smaller groups receive the best rates.,"Satellite or Cable, Washer & Dryer, No Smoking, Air Conditioning, TV, Internet, Children Welcome, Pets Welcome, Heater, Parking, Fireplace"
36,https://www.homeaway.com/vacation-rental/p3591447#reviews,"Quiet, Cozy Charmer, Downtown, But Rare Private Sanctuary",$81,300 sq. ft.,"Come, stay in our newly renovated studio apartment, formally a soundproof music studio. Quiet, private-perfect for one person or a couple. Very safe neighborhood.","Satellite or Cable, Washer & Dryer, No Smoking, Air Conditioning, TV, Internet, Children Welcome, Heater, Parking"
37,https://www.homeaway.com/vacation-rental/p212502vb#reviews,East Austin's Best Rental! 3 blocks to 6th & Franklin's! Large Groups Welcome!,$800,2700 sq. ft.,This Gorgeous 2500 square foot home is located 1 block East of IH-35! Arrive at the house within 10 minutes of leaving the airport and start your vacation right away!,"Internet, Air Conditioning, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
38,https://www.homeaway.com/vacation-rental/p268686vb#reviews,Summer special. Great for large groups. Fantastic location.,$714,4500 sq. ft.,Fully licensed by the City of Austin. License #: OL 2012 110614,"Internet, Air Conditioning, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Accessible, Heater"
39,https://www.homeaway.com/vacation-rental/p3528060#reviews,"Best Downtown Austin Location - Walk to Restaurants, Live Music, Conventions",$83,500 sq. ft.,"Location, location, location!!! You can't beat this downtown Austin location for work or play. Walk out your door and you will be in the heart of downtown Austin, next door to the Convention Center and just half a block away from hopping on the Cap Metro Light rail...not to mention grabbing a Starbucks coffee across the street. Walk just two blocks and you will be on 6th Street or in the Warehouse District of 4th Street, the two biggest nightlife areas of Austin with tons of bars, pubs and live music venues, as well as Congress Avenue and tons of downtown restaurants such as Eddie V's Prime Seafood, Vince Young Steakhouse, Piranha Sushi, Fogo de Chao and Moonshine Bar & Grill. Within four blocks is the famous Town Lake and its wonderful 10+ mile hike & bike trail. And a very short bus ride to the famous SoCo neighborhood. No car needed for this great location but parking is available if you need it. This downtown vacation rental lets you take care of business and fun at the same time and from the same place.","Washer & Dryer, Parking, Satellite or Cable, No Smoking, Accessible, Air Conditioning, Heater, TV, Internet"
40,https://www.homeaway.com/vacation-rental/p253029vb#reviews,"Relaxing Waterfront Home on Lake Austin, W/ Private Boat Dock",$265,1800 sq. ft.,"You'll enjoy our lovely and comfortable house right on Lake Austin as the perfect venue for fun with family & friends. It is a great place for just relaxing on the deck or taking your boat out for a day of skiing on the lake. Or you can do some fishing off our dock, visit nearby shopping areas, restaurants and golf courses.","Internet, Air Conditioning, Fireplace, TV, Satellite or Cable, Washer & Dryer, Parking, No Smoking, Heater"
41,https://www.homeaway.com/vacation-rental/p290688#reviews,"Colorful and FUN 2/1 duplex - two blocks to Zilker Park. King & 2 twins, sleep 6",$156,1008 sq. ft.,"The two bedroom “Kaleido House” features original art and colorful decor to go along with the spacious vaulted natural wood ceilings. The master bedroom features a comfy King bed and the 2nd bedroom has 2 X-long twins that can be made up into a king upon request. The couch in the living room is a Queen sleeper. Highlighting the cedar lined bathroom is a 200 gallon double shower/hot tub with skylight*. Located just two blocks from Zilker Park and Barton Springs Pool, the Kaleido House is the perfect home base to enjoy everything that Austin has to offer. There is easy walking access to many of Austin’s famous restaurants as well as the outdoor paradise that is Zilker Park. Take a dip in the 68 degree waters of Barton Springs after enjoying a hike through the Barton Creek Greenbelt or a stroll around Lady Bird Lake. After a day outdoors, you’re only a short walk back!","Satellite or Cable, No Smoking, Pets Welcome, Washer & Dryer, Air Conditioning, TV, Children Welcome, Internet, Hot Tub, Parking, Heater"
42,https://www.homeaway.com/vacation-rental/p3165621#reviews,"5 bedrooms, 3 living areas between 2 houses, Rent both to sleep 16",$850,3600 sq. ft.,***Completion in October 2018***,"Swimming pool, Internet, Air Conditioning, Pets Welcome, Fireplace, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Accessible, Heater"
43,https://www.homeaway.com/vacation-rental/p247938#reviews,"Walk anywhere from Cozy, Modern Treehouse overlooking 1/2 acre near Zilker",$60,730 sq. ft.,"Newer two story, modern guest cottage attached to historic 'Cistern House' on ½ acre close to Zilker Neighborhood. The 'Cistern House Annex' is within walking distance to the back gate of Barton Springs Pool, Lady Bird Lake hike and bike trail, Umlauf Sculpture Garden, Long Center, and movie theatre, restaurants and coffee shops. Hardwoods upstairs, stained concrete down, open kitchen with custom cabinets, stainless appliances, natural light in every room – even the walk in closet. Upstairs bedroom has feel of treehouse with wall of casement windows and custom blinds, overlooking 100 year old Oaks. Duplex is attached to main house by a solid stone wall, creating both a sound barrier and one of a kind wall of natural cut stone in the living area. The owners occupy the adjoining historic 'cistern' house and studio. Partially enclosed private patio. Google Fiber Internet, Flat screen TV upstairs and down. License #098980","Satellite or Cable, No Smoking, Washer & Dryer, Air Conditioning, TV, Children Welcome, Internet, Parking, Heater"
44,https://www.homeaway.com/vacation-rental/p3479083#reviews,4 Bedroom Modern - Complete Remodel,$199,1700 sq. ft.,Please inquire before booking.,"Internet, Air Conditioning, Pets Welcome, TV, Satellite or Cable, Washer & Dryer, Children Welcome, Parking, No Smoking, Heater"
